\ Created 2021 May 30 by Nadia Zakamska 
\ Wavelengths are assumed to be in vacuum! 
\ Data Source 1: JWST H_2 lines between 1 and 2.5 microns from this link: 
\ https://github.com/spacetelescope/jdaviz/tree/main/jdaviz/data/linelists 
\ H2_alt.csv file; one typo corrected (the line marked as 2-9 Q(1) replaced with 2-0 Q(1)) 
\ Data Source 2: ISO H_2 lines from 2.5 microns onwards from this link: 
\ https://www.mpe.mpg.de/ir/ISO/linelists, file H2.html 
\ The original precision for wavelength is maintained. 
|                    name|          lines|                linelab|
|                    char|          float|                   char|
|                        |         micron|                       |
|                    null|           null|                   null|
                 H2_43_Q4         2.93109     H$_2$(4-3) Q(4) 
               H2_108_Q11         2.93602   H$_2$(10-8) Q(11) 
                H2_32_Q10         2.94401    H$_2$(3-2) Q(10) 
               H2_1210_S3         2.94452   H$_2$(12-10) S(3) 
               H2_1210_S4         2.95288   H$_2$(12-10) S(4) 
                 H2_43_Q5         2.95510     H$_2$(4-3) Q(5) 
                 H2_87_S6         2.95635     H$_2$(8-7) S(6) 
               H2_1310_Q7         2.95641   H$_2$(13-10) Q(7) 
               H2_1210_S2         2.95926   H$_2$(12-10) S(2) 
                 H2_32_O2         2.96211     H$_2$(3-2) O(2) 
                H2_87_S13         2.96229    H$_2$(8-7) S(13) 
                H2_21_Q14         2.96504    H$_2$(2-1) Q(14) 
                H2_53_O16         2.97381    H$_2$(5-3) O(16) 
                 H2_21_O3         2.97406     H$_2$(2-1) O(3) 
                 H2_43_Q6         2.98412     H$_2$(4-3) Q(6) 
               H2_1210_S5         2.98755   H$_2$(12-10) S(5) 
                H2_32_Q11         2.99387    H$_2$(3-2) Q(11) 
                H2_119_Q7         2.99406    H$_2$(11-9) Q(7) 
               H2_1210_S1         2.99550   H$_2$(12-10) S(1) 
                 H2_10_O4         3.00387     H$_2$(1-0) O(4) 
                H2_86_O11         3.00721    H$_2$(8-6) O(11) 
               H2_1310_O6         3.00787   H$_2$(13-10) O(6) 
                 H2_97_O9         3.01378     H$_2$(9-7) O(9) 
                 H2_43_Q7         3.01833     H$_2$(4-3) Q(7) 
                H2_21_Q15         3.02951    H$_2$(2-1) Q(15) 
                 H2_76_S2         3.03091     H$_2$(7-6) S(2) 
                H2_75_O13         3.03628    H$_2$(7-5) O(13) 
                H2_97_Q15         3.03748    H$_2$(9-7) Q(15) 
                H2_32_Q12         3.04920    H$_2$(3-2) Q(12) 
               H2_1210_S0         3.05278   H$_2$(12-10) S(0) 
               H2_1210_S6         3.05422   H$_2$(12-10) S(6) 
                H2_119_O4         3.05641    H$_2$(11-9) O(4) 
                 H2_43_Q8         3.05791     H$_2$(4-3) Q(8) 
                 H2_65_S0         3.06276     H$_2$(6-5) S(0) 
               H2_129_O10         3.06821   H$_2$(12-9) O(10) 
               H2_118_O13         3.07206   H$_2$(11-8) O(13) 
                H2_108_O7         3.07279    H$_2$(10-8) O(7) 
                H2_64_O15         3.08726    H$_2$(6-4) O(15) 
                 H2_54_Q1         3.09028     H$_2$(5-4) Q(1) 
               H2_108_Q12         3.09550   H$_2$(10-8) Q(12) 
                 H2_87_S4         3.09753     H$_2$(8-7) S(4) 
                 H2_54_Q2         3.10111     H$_2$(5-4) Q(2) 
                 H2_43_Q9         3.10316     H$_2$(4-3) Q(9) 
                H2_119_Q8         3.10997    H$_2$(11-9) Q(8) 
                H2_32_Q13         3.11038    H$_2$(3-2) Q(13) 
                 H2_54_Q3         3.11743     H$_2$(5-4) Q(3) 
                 H2_54_Q4         3.13934     H$_2$(5-4) Q(4) 
                H2_43_Q10         3.15439    H$_2$(4-3) Q(10) 
                 H2_43_O2         3.15889     H$_2$(4-3) O(2) 
                H2_53_O17         3.15925    H$_2$(5-3) O(17) 
                 H2_76_S1         3.16199     H$_2$(7-6) S(1) 
               H2_1210_S7         3.16279   H$_2$(12-10) S(7) 
                 H2_32_O3         3.16383     H$_2$(3-2) O(3) 
                 H2_54_Q5         3.16697     H$_2$(5-4) Q(5) 
                H2_32_Q14         3.17791    H$_2$(3-2) Q(14) 
               H2_1411_S0         3.18879   H$_2$(14-11) S(0) 
                 H2_21_O4         3.18981     H$_2$(2-1) O(4) 
               H2_1210_Q1         3.18989   H$_2$(12-10) Q(1) 
               H2_1411_S1         3.19480   H$_2$(14-11) S(1) 
                 H2_87_S3         3.19565     H$_2$(8-7) S(3) 
                 H2_54_Q6         3.20051     H$_2$(5-4) Q(6) 
                H2_86_O12         3.20209    H$_2$(8-6) O(12) 
               H2_107_O16         3.20403   H$_2$(10-7) O(16) 
                H2_97_O10         3.20432    H$_2$(9-7) O(10) 
                H2_43_Q11         3.21204    H$_2$(4-3) Q(11) 
                H2_119_O5         3.21605    H$_2$(11-9) O(5) 
               H2_1210_Q2         3.22458   H$_2$(12-10) Q(2) 
               H2_1310_O7         3.23304   H$_2$(13-10) O(7) 
                 H2_10_O5         3.23499     H$_2$(1-0) O(5) 
                H2_75_O14         3.23631    H$_2$(7-5) O(14) 
                 H2_54_Q7         3.24018     H$_2$(5-4) Q(7) 
                 H2_98_S9         3.24468     H$_2$(9-8) S(9) 
                 H2_98_S8         3.24492     H$_2$(9-8) S(8) 
                H2_32_Q15         3.25268    H$_2$(3-2) Q(15) 
                H2_119_Q9         3.25447    H$_2$(11-9) Q(9) 
                H2_108_O8         3.26072    H$_2$(10-8) O(8) 
                 H2_98_S7         3.26493     H$_2$(9-8) S(7) 
                H2_98_S10         3.26519    H$_2$(9-8) S(10) 
               H2_1411_Q1         3.27576   H$_2$(14-11) Q(1) 
                H2_43_Q12         3.27659    H$_2$(4-3) Q(12) 
               H2_1210_Q3         3.27832   H$_2$(12-10) Q(3) 
                 H2_54_Q8         3.28625     H$_2$(5-4) Q(8) 
                H2_64_O16         3.28933    H$_2$(6-4) O(16) 
               H2_108_Q13         3.29569   H$_2$(10-8) Q(13) 
                 H2_98_S6         3.30455     H$_2$(9-8) S(6) 
                H2_98_S11         3.30845    H$_2$(9-8) S(11) 
                 H2_87_S2         3.31460     H$_2$(8-7) S(2) 
                 H2_76_S0         3.31603     H$_2$(7-6) S(0) 
                 H2_65_Q1         3.32432     H$_2$(6-5) Q(1) 
               H2_1210_S8         3.33080   H$_2$(12-10) S(8) 
                 H2_65_Q2         3.33701     H$_2$(6-5) Q(2) 
                 H2_54_Q9         3.33905     H$_2$(5-4) Q(9) 
                H2_43_Q13         3.34863    H$_2$(4-3) Q(13) 
               H2_1411_Q2         3.35016   H$_2$(14-11) Q(2) 
               H2_1210_Q4         3.35342   H$_2$(12-10) Q(4) 
                 H2_65_Q3         3.35617     H$_2$(6-5) Q(3) 
               H2_1210_O2         3.35886   H$_2$(12-10) O(2) 
                 H2_98_S5         3.36422     H$_2$(9-8) S(5) 
                 H2_43_O3         3.37646     H$_2$(4-3) O(3) 
                H2_98_S12         3.37799    H$_2$(9-8) S(12) 
                 H2_65_Q4         3.38194     H$_2$(6-5) Q(4) 
                 H2_54_O2         3.38259     H$_2$(5-4) O(2) 
               H2_129_O11         3.38377   H$_2$(12-9) O(11) 
