# wl(um)  tau
 10.3733  0.00000e+00
 10.3813  0.00000e+00
 10.3893  0.00000e+00
 10.3973  0.00000e+00
 10.4053  0.00000e+00
 10.4133  0.00000e+00
 10.4213  0.00000e+00
 10.4293  0.00000e+00
 10.4374  0.00000e+00
 10.4454  0.00000e+00
 10.4534  0.00000e+00
 10.4615  0.00000e+00
 10.4695  0.00000e+00
 10.4776  0.00000e+00
 10.4857  0.00000e+00
 10.4937  0.00000e+00
 10.5018  0.00000e+00
 10.5099  0.00000e+00
 10.5180  0.00000e+00
 10.5261  0.00000e+00
 10.5342  0.00000e+00
 10.5423  0.00000e+00
 10.5504  0.00000e+00
 10.5585  0.00000e+00
 10.5666  0.00000e+00
 10.5748  0.00000e+00
 10.5829  0.00000e+00
 10.5910  0.00000e+00
 10.5992  0.00000e+00
 10.6073  0.00000e+00
 10.6155  0.00000e+00
 10.6237  0.00000e+00
 10.6319  0.00000e+00
 10.6400  0.00000e+00
 10.6482  0.00000e+00
 10.6564  0.00000e+00
 10.6646  0.00000e+00
 10.6728  0.00000e+00
 10.6810  0.00000e+00
 10.6892  0.00000e+00
 10.6975  0.00000e+00
 10.7057  0.00000e+00
 10.7139  0.00000e+00
 10.7222  0.00000e+00
 10.7304  0.00000e+00
 10.7387  0.00000e+00
 10.7470  0.00000e+00
 10.7552  0.00000e+00
 10.7635  0.00000e+00
 10.7718  0.00000e+00
 10.7801  0.00000e+00
 10.7884  0.00000e+00
 10.7967  0.00000e+00
 10.8050  0.00000e+00
 10.8133  0.00000e+00
 10.8216  0.00000e+00
 10.8300  0.00000e+00
 10.8383  0.00000e+00
 10.8466  0.00000e+00
 10.8550  0.00000e+00
 10.8633  0.00000e+00
 10.8717  0.00000e+00
 10.8801  0.00000e+00
 10.8884  0.00000e+00
 10.8968  0.00000e+00
 10.9052  0.00000e+00
 10.9136  0.00000e+00
 10.9220  0.00000e+00
 10.9304  0.00000e+00
 10.9388  0.00000e+00
 10.9472  0.00000e+00
 10.9556  0.00000e+00
 10.9641  0.00000e+00
 10.9725  0.00000e+00
 10.9810  0.00000e+00
 10.9894  0.00000e+00
 10.9979  0.00000e+00
 11.0063  0.00000e+00
 11.0148  0.00000e+00
 11.0233  0.00000e+00
 11.0317  0.00000e+00
 11.0402  0.00000e+00
 11.0487  0.00000e+00
 11.0572  0.00000e+00
 11.0657  0.00000e+00
 11.0743  0.00000e+00
 11.0828  0.00000e+00
 11.0913  0.00000e+00
 11.0998  0.00000e+00
 11.1084  0.00000e+00
 11.1169  0.00000e+00
 11.1255  0.00000e+00
 11.1341  0.00000e+00
 11.1426  0.00000e+00
 11.1512  0.00000e+00
 11.1598  0.00000e+00
 11.1684  0.00000e+00
 11.1770  0.00000e+00
 11.1856  0.00000e+00
 11.1942  0.00000e+00
 11.2028  0.00000e+00
 11.2114  0.00000e+00
 11.2200  0.00000e+00
 11.2287  0.00000e+00
 11.2373  0.00000e+00
 11.2459  0.00000e+00
 11.2546  0.00000e+00
 11.2633  0.00000e+00
 11.2719  0.00000e+00
 11.2806  0.00000e+00
 11.2893  0.00000e+00
 11.2980  0.00000e+00
 11.3067  0.00000e+00
 11.3154  0.00000e+00
 11.3241  0.00000e+00
 11.3328  0.00000e+00
 11.3415  0.00000e+00
 11.3502  0.00000e+00
 11.3590  0.00000e+00
 11.3677  0.00000e+00
 11.3765  0.00000e+00
 11.3852  0.00000e+00
 11.3940  0.00000e+00
 11.4027  0.00000e+00
 11.4115  0.00000e+00
 11.4203  0.00000e+00
 11.4291  0.00000e+00
 11.4379  0.00000e+00
 11.4467  0.00000e+00
 11.4555  0.00000e+00
 11.4643  0.00000e+00
 11.4731  0.00000e+00
 11.4820  0.00000e+00
 11.4908  0.00000e+00
 11.4996  0.00000e+00
 11.5085  0.00000e+00
 11.5173  0.00000e+00
 11.5262  0.00000e+00
 11.5351  0.00000e+00
 11.5440  0.00000e+00
 11.5528  0.00000e+00
 11.5617  0.00000e+00
 11.5706  0.00000e+00
 11.5795  0.00000e+00
 11.5884  0.00000e+00
 11.5974  0.00000e+00
 11.6063  0.00000e+00
 11.6152  0.00000e+00
 11.6241  0.00000e+00
 11.6331  0.00000e+00
 11.6420  0.00000e+00
 11.6510  0.00000e+00
 11.6600  0.00000e+00
 11.6689  0.00000e+00
 11.6779  0.00000e+00
 11.6869  0.00000e+00
 11.6959  0.00000e+00
 11.7049  0.00000e+00
 11.7139  0.00000e+00
 11.7229  0.00000e+00
 11.7320  0.00000e+00
 11.7410  0.00000e+00
 11.7500  0.00000e+00
 11.7591  0.00000e+00
 11.7681  0.00000e+00
 11.7772  0.00000e+00
 11.7862  0.00000e+00
 11.7953  0.00000e+00
 11.8044  0.00000e+00
 11.8135  0.00000e+00
 11.8225  0.00000e+00
 11.8316  0.00000e+00
 11.8407  0.00000e+00
 11.8499  0.00000e+00
 11.8590  0.00000e+00
 11.8681  0.00000e+00
 11.8772  0.00000e+00
 11.8864  0.00000e+00
 11.8955  0.00000e+00
 11.9047  0.00000e+00
 11.9138  0.00000e+00
 11.9230  0.00000e+00
 11.9322  0.00000e+00
 11.9414  0.00000e+00
 11.9505  0.00000e+00
 11.9597  0.00000e+00
 11.9689  0.00000e+00
 11.9782  0.00000e+00
 11.9874  0.00000e+00
 11.9966  0.00000e+00
 12.0058  0.00000e+00
 12.0151  0.00000e+00
 12.0243  0.00000e+00
 12.0336  0.00000e+00
 12.0428  0.00000e+00
 12.0521  0.00000e+00
 12.0614  0.00000e+00
 12.0707  0.00000e+00
 12.0799  0.00000e+00
 12.0892  0.00000e+00
 12.0985  0.00000e+00
 12.1079  0.00000e+00
 12.1172  0.00000e+00
 12.1265  0.00000e+00
 12.1358  0.00000e+00
 12.1452  0.00000e+00
 12.1545  0.00000e+00
 12.1639  0.00000e+00
 12.1732  0.00000e+00
 12.1826  0.00000e+00
 12.1920  0.00000e+00
 12.2014  0.00000e+00
 12.2107  0.00000e+00
 12.2201  0.00000e+00
 12.2295  0.00000e+00
 12.2389  0.00000e+00
 12.2484  0.00000e+00
 12.2578  0.00000e+00
 12.2672  0.00000e+00
 12.2767  0.00000e+00
 12.2861  0.00000e+00
 12.2956  0.00000e+00
 12.3050  0.00000e+00
 12.3145  0.00000e+00
 12.3240  0.00000e+00
 12.3335  0.00000e+00
 12.3429  0.00000e+00
 12.3524  0.00000e+00
 12.3620  0.00000e+00
 12.3715  0.00000e+00
 12.3810  0.00000e+00
 12.3905  0.00000e+00
 12.4001  0.00000e+00
 12.4096  0.00000e+00
 12.4191  0.00000e+00
 12.4287  0.00000e+00
 12.4383  0.00000e+00
 12.4478  0.00000e+00
 12.4574  0.00000e+00
 12.4670  0.00000e+00
 12.4766  0.00000e+00
 12.4862  0.00000e+00
 12.4958  0.00000e+00
 12.5054  0.00000e+00
 12.5150  0.00000e+00
 12.5247  0.00000e+00
 12.5343  0.00000e+00
 12.5440  0.00000e+00
 12.5536  0.00000e+00
 12.5633  0.00000e+00
 12.5729  0.00000e+00
 12.5826  0.00000e+00
 12.5923  0.00000e+00
 12.6020  0.00000e+00
 12.6117  0.00000e+00
 12.6214  0.00000e+00
 12.6311  0.00000e+00
 12.6408  0.00000e+00
 12.6505  0.00000e+00
 12.6603  0.00000e+00
 12.6700  0.00000e+00
 12.6798  0.00000e+00
 12.6895  0.00000e+00
 12.6993  0.00000e+00
 12.7091  0.00000e+00
 12.7189  0.00000e+00
 12.7286  0.00000e+00
 12.7384  0.00000e+00
 12.7482  0.00000e+00
 12.7580  0.00000e+00
 12.7679  0.00000e+00
 12.7777  0.00000e+00
 12.7875  0.00000e+00
 12.7974  0.00000e+00
 12.8072  0.00000e+00
 12.8171  0.00000e+00
 12.8269  0.00000e+00
 12.8368  0.00000e+00
 12.8467  0.00000e+00
